ia	σ	0.0962	5	52
ria	σσ	0.0206	7	339
tia	σ	0.1154	6	52
na	σσ	0.0383	13	339
tia	σσσ	0.512	107	209
tia	σσ	0.2094	71	339
ngia	σσσ	0.0335	7	209
hia	σσ	0.0973	33	339
hia	σ	0.0385	2	52
ria	σσσ	0.0478	10	209
a	σσσ	0.244	51	209
na	σσσ	0.0766	16	209
a	σσ	0.5103	173	339
na	σσσσ	0.0388	4	103
ngia	σσ	0.0177	6	339
ina	σσσ	0.0048	1	209
mia	σσ	0.0177	6	339
ina	σσ	0.0295	10	339
a	σ	0.4038	21	52
nga	σσ	0.0029	1	339
ia	σσ	0.0324	11	339
a	σσσσσσ	0.1429	1	7
kia	σσ	0.0236	8	339
ina	σ	0.0962	5	52
ngia	σ	0.0962	5	52
nga	σ	0.0192	1	52
hia	σσσ	0.0574	12	209
a	σσσσ	0.3786	39	103
ria	σ	0.0769	4	52
tia	σσσσ	0.3495	36	103
mia	σ	0.0192	1	52
tia	σσσσσ	0.7576	25	33
na	σ	0.0192	1	52
kia	σ	0.0192	1	52
hia	σσσσ	0.068	7	103
kia	σσσ	0.0191	4	209
ria	σσσσσσ	0.1429	1	7
ria	σσσσ	0.0583	6	103
tia	σσσσσσ	0.7143	5	7
ia	σσσσ	0.0583	6	103
mia	σσσ	0.0048	1	209
ngia	σσσσ	0.0291	3	103
ria	σσσσσ	0.0909	3	33
mia	σσσσ	0.0097	1	103
hia	σσσσσ	0.0303	1	33
a	σσσσσ	0.0606	2	33
ina	σσσσ	0.0097	1	103
ngia	σσσσσ	0.0606	2	33
